那是我的台词！	That's MY line!
为了附加节日的气氛，在那里的人用盆栽花装饰他们的家。	People there decorate their homes with potted flowers to add to the festival atmosphere.
农村的女孩喜欢把红色的纸裁减成桃和李的花及贴在门窗上。	Country girls like to cut red paper into peach and plum blossoms and paste them onto doors and windows.
在中国南边的情况不一样。	In the south of China, the situation is different.
因为气候又暖和又湿润，所以广州一年到头都有花。	With a warm and wet climate, Guangzhou has fresh flowers all year round.
从那时起，在广州每年春节的时候都有花节。	From then on, flower fairs were held in Guangzhou during the Spring Festival every year.
那里的古话说“没有花节，没有春节。”	There is an old saying there: “No flower fairs, no Spring Festival.”
種什麼因得什麼果。	You reap what you sow.
用疑问代词表任指格式改写下面的句子，根据需要可以增加或者减少一些词语。	Use interrogative pronouns to rewrite the sentences below; if you need to, you can add or remove a few words.
他因為這些樹而看不見森林。	Because of these trees, he can't see the forest.
那是一個奇怪的句子。	That is a strange sentence.
我为我男朋友忘了情人节对他生气。	I'm angry with my boyfriend for forgetting about Valentine's Day.
你为什么对我生气？	Why are you angry with me?
我为他骄傲性对他发火。	I lost my temper with him because of his arrogance.
她从早到晚都在学习。	She studies 24 / 7.
我从早到晚都想念你。	I miss you constantly.
我从早学到晚。	I'm constantly studying.
我从早考到晚。	I have exams from dawn till dusk.
他从早吃到晚。	He eats around the clock.
来自国家发展和改革委员会的数据显示，互联网在中国农村地区发展迅猛。	As figures from the National Development and Reform Committee show, the Internet has developed rapidly in rural China.
截至二零零七年六月底，中国农村网民人数达三千七百四十一万人，占农村总人口约百分之五点一。	By the end of June 2006, the number of netizens in rural China had reached three million, seven hundred and forty one thousand, making up 5.1% of the total rural population.
同期中国城镇网民人数达一亿两千五百万人，占城镇总人口的百分之二十一点六。	In the same period, the number of urban netizens in China reached one hundred and twenty five million, making up 21.6% of the total urban population.
截至二零零六年底，中国农村网民数为两千三百一十万人，这说明在六个月内共有一千四百三十万农民成为新的网民。	By the end of 2006, the number of rural netizens in China was twenty three million one hundred thousand, showing that in six months a total of fourteen million, three hundred thousand rural Chinese got online.
国家发展和改革委员会的报告说，农村电信基础设施的快速推进是网民人数增长的主要原因。	The report from the National Development and Reform Committee says that the advance in rural high-speed telecommunication infrastructure is the main reason for the increase in Internet users.
信息产业部在其“十一五规划”（二零零六年至二零一零年）中立誓要实现村村通电话，乡乡能上网。	In its "Eleven Five Plan" (2006 to 2010), the Ministry of Industry and Information Technology pledged to implement phone connections in every village and Internet connections in every town.
青年农民和外出务工农民是农村网民的主力军，在对诸如网络音乐、网络游戏、网络影视等互联网娱乐功能的使用上，农村网民和城镇网民相当。	Young people and migrant workers are the bulk of rural Internet users; in terms of online music, online games, online film and television, and the Internet's capacity for entertainment, rural Internet users are equivalent to urban ones.
但是，相对于城镇网民，农村网民对网络新闻、搜索引擎、网络购物、网上银行和网上炒股等应用要低很多。	However, compared to that in cities, rural use of online news, search engines, online shopping, online banking, online stocks and so on is much lower.
在一些农村地区，互联网主要用于农业信息以及农产品技术和价格信息等特殊目的。	In some rural areas, the Internet is important for agricultural information, as well as being particularly useful for the purposes of agricultural production technologies and pricing.
中国社会科学院信息化研究中心副主任刘满强说:“信息传递能够带来巨大的附加值，中国信息发展的一个重要目标是让更多的农民从信息业发展中受益。”	Liu Manqiang, deputy director of the Chinese Research Centre and College for Social Sciences and Information Technology, says "Information and communication technology has the potential for a huge increase in value; an important goal for the development of China's information technology is allowing more rural citizens to benefit from the information technology industry."
這個男孩吃麵包。	The boy eats bread.
我愛大自然。	I love nature.
你要去哪裡?	Where are you going?
這隻老鼠跑進洞裡。	The mouse ran into the hole.
我認識他但是我不知道他的名字。	I know him but I don’t know his name
你必須去做。	You must do it.
明天你一整天都會在這裡嗎?	Will you all be here tomorrow?
這個男孩實際上是要去做。	The boy actually was going to do it.
明天早上前這個女孩就會把它做好。	By tomorrow morning this girl will have done it.
我父親無法抬起它。	My father cannot lift it up.
你哥哥不會買它。	Your brother will not buy it.
他的母親不想做。	His mother didn't want to do it.
我吃了這個蘋果。	I ate the apple.
這個孩子正在寫一本書。	The child is writing a book.
我吃蘋果。	The apple was eaten by me.
我丈夫正在寫這本書。	The book is being written by my husband.
你女兒會告訴我。	It will be said by your daughter.
如果我了解這件事, 我就會告訴你。	If I could understand it, I would tell you so.
如果他在這裡, 他就會來拜訪我們。	If he were here, he would visit us.
沿著柵欄走時, 他看到了一隻老鼠。	Walking along the fence he noticed a mouse.
我思考著那件事離開了。	Thinking about that, I left.
話雖如此, 他和他的妻子一起離開了。	Having said that, he left with his wife.
讓我們講個人語及靈用語吧!	Let's speak Vabungula and Yuelami!
讓你叔叔想一想。	Let your uncle think about it.
希望它不會發生。	May it not happen!
他就是我昨天看到的那個人。	He is the person whom I saw yesterday.
不要忘記你放在哪裡。	Don’t forget where you put it.
讓我幫您提行李。	Let me help you with your luggage.
他出去看电影了。 电影好看吗? 好看。	He went out to see a movie. How was the movie? Good.
請用 HB 鉛筆把正確答案旁邊的圓圈填滿。	Blacken the circles next to the correct answers with an HB pencil.
交際者的關係往往會反映在他們之間的距離上。	The relationships of socialisers are often reflected in the distance between them.
不過,有趣的是,有人 因為玩電腦玩出毛病,但也有人因為玩電腦而治好疾病。	However, what's interesting is that whilst there are people whose computer use has become a problem, there are also people who have recovered from illness because of using computers.
我有兄弟。	I have brothers.
"好的, 好的" 醫生說。"我一定檢查她。"	"Okay, okay," said the doctor. "I'll definitely take a look at her."
我们这里没有任何乘橇的人。	We don't have any sledders here.
化锄为剑，化剑为锄。	Make the hoe your sword, and the sword your hoe.
这是我第二次独自地到中国。	This is the second time I have arrived in China on my own.
第一次，我差不多完全不会普通话，而且不懂中国的常规和传统。	The first time, I spoke pretty much no Chinese at all, and didn't understand China's conventions and customs.
但是我那次到中国有家人等着我。	But when I arrived in China that time, I had a family waiting for me.
这次，虽然我的阅历更多但是没有人等着接待我。	This time, although I'm more experienced, there's nobody waiting to meet me.
我在中国最后的目的地是东北变的哈尔滨，离北京大概一千公里左右。	My final destination in China is the city of Harbin in the north-east, about one thousand kilometres from Beijing.
预定机票时我决定最容易的办法就是先坐飞机到北京，然后坐火车完成我的旅程。	When booking flights, I decided the easiest way would be to fly to Beijing first, then get the train to complete my journey.
这样也很可能是最好玩儿的。	Doing it this way was probably the most fun, too.
但是，我一看到在火车站的场面是就开始对这个决定表示遗憾。	However, as soon as I saw the situation at the train station I began to regret this decision.
买票的人龙竟然那么长！	The queue for buying tickets was unbelievably long.
在中国，人人必须去出发的火车站买车票	In China, you have to go to the departure station and buy train tickets there.
再说，只能一个星期以前买到票。	What's more, you can only buy train tickets one week in advance.
在车站，我把买票队的地点弄清楚后，开始久等。	At the train station, once I had figured out where the queue for tickets actually was, I began the long wait.
我很晚才到了哈尔滨，出租汽车的队已经长极了。	I didn't arrive in Harbin until very late, and the queue for taxis was already extremely long.
我参加队不久后，一个男人来问我要不要租车。	Not long after I joined the queue, a man approached and asked if I wanted a taxi.
“我已经在排队呢，”我告诉他。	"But I'm already queuing," I tell him.
我怀疑这是辆黑车。	I am suspicious that this is an illegal taxi.
“我的车不需要排队阿，”他提议。	"You don't have to queue for my car," he offers.
“是黑车吗？”我问他。	"Is it an illegal taxi?" I ask him.
“那不要了,”我回答。	"Then I don't want it," I reply.
那天晚上，大學给留学生和中国的学习外语学生举行一个会议。	That evening, the university held a meeting for foreign students and Chinese students studying foreign languages.
冷不防，老师让每个国家的学生用话筒给大家讲一下自己来哈尔滨的原因。	Without warning, the teachers ask students from each country to take the microphone and explain to everyone their reasons for coming to Harbin.
轮到我说话时，我不觉地把‘标准’混成‘普通’，后来说东北边的口音是最普通的。	When it comes to my turn to speak, I confuse the words 'standard' and 'common', and end up saying that the north-eastern accent is 'the most common'.
幸运的是大家都明白了这个老外的意思，知道我只是闹笑话而友好地对我笑一下。	Fortunately, everybody understood what this foreigner meant, knew I was only making a fool of myself, and laughed at me.
在哈尔滨，许多人邀请我到他们家吃饭。	In Harbin, many people invite me to their homes to have dinner.
店主擔心地跑過去跪在迪馬身旁, 迪馬沉重地喘著氣, 他的額頭覆著一層汗。	Worried, the shopkeeper ran over and kneeled beside Dima, who was breathing heavily - his forehead covered in sweat.
我嚇壞了。	I'm scared shitless.
這不是很流行。	This is not very stylish.
这个漫画在中国蛮火。	This manga is pretty popular in China.
很明顯的是這兩者之間有很強烈的分歧。	It's clear that there's a rather strong disagreement between the two.
它是可靠的, 因為這個方程式所有的根都是負的。	It's stable because all the roots of this equation are negative.
一首鼓勵我的詩。	A rhyme that encourages me.
他越通曉這個語言, 他越不喜歡它。	The better he knows the language, the less he likes it.
这里人太多了。咱们换个地方吧。	There's too many people here. Let's go somewhere else.
你還想要什麼?	What more would you want?
她的腦袋充滿了新點子。	Her head was bursting with new ideas.
你的腦袋充滿了新點子。	Your head was bursting with new ideas.
握著我的手。我們兩個將要建立一個烏托邦。	Take my hand. The two of us are going to construct a utopia.
在一連串可怕的事件中, 哥倫布曾經咬緊牙關撐過去。	In a horrifying chain of events, Christopher Columbus once bit his own lip.
你是個變態!	You're a sicko!
他非常喜歡漂亮的女人。	He's a sucker for beautiful women.
請你讓門開著好嗎?	Would you leave the door open, please?
你可以借我一些錢嗎?	Would you lend me some money?
你可以借我你的腳踏車嗎?	Would you lend me your bicycle?
你可以借我你的字典嗎?	Would you lend me your dictionary?
你可以借我你的刀嗎?	Would you lend me your knife?
你可以借我你的鉛筆嗎?	Would you lend me your pencil?
我梦到你了。	I dreamed about you.
作詩來鼓勵我。	Rhyme to encourage me.
獵人射殺了狐狸。	The hunter shot the fox dead.
他想去哪裡?	Where does he want to go?
她想去哪裡?	Where does she want to go?
嗨, 我要一個炸薄餅卷。	Hi, I'd like a deep-fried pizza roll.
她贏了許多比賽。	She won many competitions.
你贏了許多比賽。	You won many competitions.
他們贏了許多比賽。	They won many competitions.
也許你舔了它?	Maybe you licked it?
你可以照顧一下我的貓嗎?	Would you look after my cat?
你明天可以幫我照顧一下我的狗嗎?	Would you please look after my dog tomorrow?
你可以照顧一下孩子們嗎?	Would you please look after the children?
你可以仔細檢查一下我的報告嗎?	Would you please look over my report?
我花了比平常多一點的時間入睡。	It took me a little more time than usually to fall asleep.
很容易感冒。	It's easy to catch a cold.
今天下雪。	It's snowing today.
快點, 我們要離開了!	Hurry up, we are leaving!
她嘲笑我的詩。	She scoffed at my poem.
你了解多少我寫在這裡的東西?	How much of what I've written here do you understand?
在一個地方有你想要的所有娛樂。	All your entertainment in one place.
这家里应该没有男人才对。	There aren't supposed to be any men in this house.
我喜歡看女同性戀色情片。	I like watching lesbian porn.
他的薪水包括基本工资和提成。	His salary is composed of basic salary and commission.
如果你认为我还会帮你这样的混蛋，那你大错特错了。	If you think that I'm still going to help a bastard like you, then you couldn't be any further away from the truth.
认识他的人都是爱他的。	He was loved by everyone that knew him.
我昨天被解雇了。	I was sacked yesterday.
犯人被逮捕了。	The criminal was arrested.
老虎被杀了。	The tiger was killed.
我的车被小偷偷走了。	My car was stolen by a thief.
那个孩子被老师批评了。	That child was told off by the teacher.
我的啤酒被我的同屋喝完了。	My beer was finished off by my room-mate.
我被他让生气得头疼了。	He made me so angry that I got a headache.
他被殴打得快死。	He was beaten to within an inch of his life.
军队意外地被攻击了。	The army was unexpectedly attacked.
由于全球气候变暖，城市可能被完全地淹没。	Due to global warming, cities could be completely submerged.
她的玩具是被我妹妹弄坏的。	It was her little sister that broke her toy.
我是被外面的交通噪音唤醒的。	I was woken up by the noise of the traffic outside.
别被抓获了。	Don't get caught.
我想要成為一位工程師。	I want to become an engineer.
我拿了兩杯咖啡。	I took two cups of coffee.
他看了看四周，但沒看見任何人。	He looked in all directions, but didn't see anyone.
他們告訴我吃完這個藥我就會覺得舒服一點。	They told me that I would feel a little better if I took this medicine.
我喝醉了，但是还会说德语。	I'm drunk, but I can still speak German.
这个网站看起来不错。	This website seems quite good.
我没有钱.	I have no money.
這些年輕人彼此之間大聲說話, 絲毫不在意周圍的人。	These young people are talking loudly amongst themselves and have absolutely no regard for those around them.
你是不是喝醉到能再说一边德语的程度？	Are you drunk enough to speak German once again?
山中無老虎, 猴子稱大王。	When the landlord's away, the tenants will play.
我爸爸變老了。	My father became old.
那是有道理的。	That makes sense.
我們的鄰居買給他自己一匹迷人的馬。	Our neighbour bought himself a charming horse.
我緊緊地抱著他哭。	I hugged him tightly and cried.
我不後悔。	I don't regret it.
我想打電話給你, 但我以為你不會接電話, 所以到最後我也沒打電話你。	I wanted to phone you, but I thought you wouldn't get it so I didn't phone you in the end.
今晚的夜空星光非常明亮。	Tonight in the night sky, the stars are shining very brightly.
如果我有麻煩了, 她甚至不會理我。	She wouldn't even piss on me if I were on fire.
當爸爸的必須至少會煮蛋。	Daddy must be able to cook at least one egg!
用於那個義大利醬的香草可能是荷蘭芹。	The herb used in that pasta sauce might be parsley.
他可能已經好幾天沒吃東西了。	He might have not eaten for days.
這可能是一場婚禮。	It might be a wedding.
它一定是一家很貴的餐廳。	It must be a very expensive restaurant!
這個幾乎吃掉了一整個蛋糕的孩子一定很胖。	The child who ate almost all this cake must be very fat.
它一定是個生日蛋糕。	It must be a birthday cake!
"我們吃爺爺吧。" 和"我們吃了吧, 爺爺。" 這兩個句子可以證明標點符號能讓句子有很大的不同。	The sentences "Let's eat grandpa." and "Let's eat, grandpa." are only one proof that punctuation can change a lot.
根據她所說的, 他是有罪的。	According to what she said, he's culpable.
系统是线性的吗？	Is the system linear?
靠！瑞士的火车什么都有！	Damn! Swiss trains have everything!
你的朋友近来在忙些什么？	What has your friend been doing recently?
我喜欢画油画，但是我不想拿它做我的终身职业。	I like to do oil painting, but I don't intend to make that my lifelong occupation.
他会说日语。	He can speak Japanese.
这一定是最好的方法 。	This is definitely the best way.
知道一家公司的文化为什么是重要的？	Why is it important to know about a company’s culture?
如果你是个潜在的雇员，应该参加面试之前不但意识到公司的主张而且知道它怎么对待雇员。	If you are a potential employee then you should be aware of what the company stands for and how it treats its employees before attending an interview.
如果你需要使用一家公司的服務, 在選擇與他們合作之前, 你可能有興趣知道他們朝什麼樣的標準努力。	If you need to use the services of a company you may be interested to know what standards they work towards before choosing to work with them.
有你跟它们主要的政策不同意这个可能；如果是这样的，那就会影响你的工作关系。	You may not agree with some of their major policies and this could affect your working relationship.
因为有些公司对待雇员和顾客的情况可以随时影响它们的股价，所以对公司的程工或失败不可不免地有巨大的影响。	For some companies their treatment of their employees or clients at any given time could affect their share prices and so inevitably have a great influence on the company’s success or failure.
为了更好地理解一家公司的文化，你应该考虑下面的论点，并看公司把它们怎么处理。	To better understand what a company’s culture is you should consider the following points and see how the company deals with them.
许多网上的公司为了生存而需要新鲜的生意方式。	Many on-line companies need to have a new approach to business to survive.
主要互联网的搜索引擎之一说：“快比慢好”。	One of the major Internet search engines states that ‘Fast is better than slow’.
这表明它们注意听了顾客的需要。	This shows they have listened to the needs of their clients.
它们主要的看法其中也有“没有西装革履也可以很正经”。	They also have ‘You can be serious without a suit’ as one of their key beliefs.
这即表明的是工作气氛不但又好玩儿又放松，而且非常重视协力的成就和交流，并把传统三个小时的会议换成为排队等咖啡时非正的聊天。	This implies a fun and relaxed working atmosphere where team achievement is highly valued, communication is extremely important and traditional 3-hour meetings have been replaced by informal chats in the queue for coffee.
我們沒有必要出席這個講座。	It is not necessary for us to attend this lecture.
我好累。	I'm so tired.
第一次世界大戰開始於1914年。	World War I began in the year 1914.
你是不是刚认识他？	Did you just get to know him?
我厌烦了他的行为。	I am fed up with his behaviour.
结婚不是什么使年轻人感兴趣的东西。	Marriage isn't really something that young people are interested in.
这个传统在中国诞生了。	This tradition originates from China.
他的父親去年過世了。	His father passed away last year.
我没有钱,也没有朋友。	I don't have any money and I don't have any friends either.
我想有一天能去法国。	I'd like to go to France one day.
您可以用任何您想要用的语言写。在Tatoeba，所有语言都是平等的。	You may write in any language you want. In Tatoeba, all languages are equal.
下一班火車將在第二月台, 於下午四點三十五分前往澀谷。	The next train arriving at platform 2 will depart for Shibuya at 4:35pm.
我不喜歡春天。	I don't like spring.
你在寫信嗎?	Are you writing a letter?
她知道您的電話號碼嗎?	Does she know your telephone number?
借口是没用的。	There is no use in making excuses.
科學還無法解決所有生活上的問題。	Science is still not capable of solving all of life's problems.
她爸爸很高。	Her father is tall.
你该学他。	You should learn from his example.
屋里有人吗？	Is there anybody in the house?
我想关闭我的储蓄账户。	I am thinking of closing my savings account.
這可能不是真的鑽石。	This might not be a genuine diamond.
可以跟我交換房間嗎?	Could you exchange rooms with me?
我們昨晚吃了咖哩飯。	We ate curry rice last night.
我發現了我辦公桌上有張字條, 但是我不知道是誰寫的。	I noticed a note on my desk, but I do not know who wrote it.
只要你保持安靜, 你可以留在這裡。	As long as you keep quiet, you can stay here.
我們每個人就像是月亮: 我們從來沒有讓別人看到我們黑暗的一面。	Each of us is like the moon: there is a dark side of us that we do not let others see.
跟我们来。	Come with us.
你也是其中一个吧！	You're one of them too, aren't you?!
因为她是个很实际的人，她常常把朋友得气车修好。	As she's a very practical person, she often fixes her friends' cars.
我弟弟小的时候，我常常陪他去公园。	When my brother was young, I often used to take him to the park.
要是我有钱的话，我将常常出去玩儿。	If I had the money, I would often go out and have fun.
我一有小狗，就会开始常常散步。	As soon as I have a dog, I'll start going for walks frequently.
他不太能喝酒，但是朋友都喜欢喝，所以他往往喝醉了。	He's not a big drinker, but his friends all like to drink, so he often gets drunk.
小李往往失眠是因为他的邻居老是嘈杂地吵架。	Xiaoli often loses sleep because his neighbours are always arguing loudly.
日本發生規模8.9的強烈地震, 引發強大海嘯。	An earthquake, 8.9 on the Richter scale, hits Japan and causes a massive tsunami.
國際救難隊伍隨時待命準備前往日本。	National rescue teams are on standby ready to fly to Japan.
我們全體為日本祈禱。	We are all praying for Japan.
"先生, 你是一個帝國主義者!" "而你, 先生, 是一個巨魔。"	"You, Sir, are an imperialist!" "And you, Sir, are a troll."
请问这儿是什么地方？	Pardon me, what place is this?
老虎是一种非常凶猛的动物。	A tiger is a very ferocious kind of animal.
你能把門關上嗎?	Could you shut the door?
他虽然有好多女朋友，但是还不是一个花花公子。	Even though he's got a lot of girlfriends, he's still not a player.
我必須說, 你的寫作達到了非常好的水準。	I must say that your writing is at a pretty good level!
老實說, 我已經漸漸地不喜歡這裡的生活。	To be honest, I've gradually come to dislike the life here.
如果你懷抱希望, 那麼你一定會找到幸福, 而且也會成為其他人的榜樣。	If you have hope, then you'll certainly find happiness, and will become a role model for others as well.
我們兩個還相當年輕, 所以我們沒有這種問題。	The two of us are still rather young, and so we don't have this kind of problem.
如果你找到一個壞妻子並和她結婚, 那麼以後一定會很難過得快樂。	If you find a bad wife and get married to her, then it will certainly be difficult to be happy later.
有很多的方法可以改善人的一生。	There are many ways to improve one's life.
人會隨著年齡的增長而更加地玩世不恭。	People grow more cynical with age.
没头脑和不高兴做了什么事？	What did Brainless and Unhappy do?
你真丢脸！	Shame on you!
多丢人啊！	How shameful!
他买了张去巴黎的票。	He bought a ticket for Paris.
到你切了!	Your turn to split!
他的每首歌都长期备受欢迎。	Every one of his songs was a hit.
她的每首歌都长期备受欢迎。	Every one of her songs was a hit.
剩下的就自然跟着了。	The rest follows naturally.
一箭双雕。	Kill two birds with one stone.
他不能回答他们的问题。	He can't answer their questions.
我读小学的时候，我母亲每天来接我。	My mother used to pick me up every day when I was at primary school.
他们把我们当成摇钱树。	They're taking us for cash cows.
你说的话在逻辑上有问题。	What you're saying isn't logical.
仙台地震的结果很恐怖。	The consequences of Sendai's earthquake were dreadful!
我无法判断他的话是真是假。	I've no way of telling whether or not what he says is true.
我要你切腹。	I want you to commit seppuku.
大象的体型比老鼠的体型大好几倍。	Elephants are several times the size of mice.
我加粗了我觉得有趣的文章。	I've boldfaced the articles that I found interesting.
她看上去很幸福，但是在她内心深处，她受着痛苦。	She looks happy, but deep down, she suffers.
耐心不是我的强项。	Patience is not my forté.
大自然很慷慨。	Mother Nature is generous.
告诉我正确的答案。	Tell me the correct answer.
他只顾自己的利益。	All he thinks about is himself.
不，这样不对。应该设α等于β。	No, that's not right. You have to set α equal to β.
我真的需要把这都读了。	I really need to read all this.
谁能把你的那个石心融化？	Who could melt that stone heart of yours?
预订好了。	The reservation is already made.
这个程序缺陷满多。	This process has a lot of inconveniences.
他宁愿不吃这个。	He'd prefer not to eat that.
我宁愿不说出来。	I'd prefer not to say.
太可惜了，你一点也不懂它的真髓。	It's really unfortunate. You don't understand at all its essence.
我宁愿死也不要给你结婚！	I'd rather die than marry you!
你宁愿说谎也不要让他生气吗？	Would you rather lie than make him angry?
我宁愿不睡觉也要看完这本书。	I'd rather not sleep and finish reading this book.
我宁愿没有钱也要找到爱情。	I'd rather have no money but find love.
我宁愿逃学也要玩电子游戏。	I'd rather skip school and play video games.
安全是最重要的事情。	Safety is the most important thing.
我女兒喜歡跳繩。	My daughter loves jumping rope.
修理我的腳踏車花了我一千日圓。	It cost me a thousand yen to get my bicycle fixed.
你要是不答应的话，我就袖手旁观。	If you don't make the promise, then I'll just stand by and watch.
虽然有人来了，但是她还是忐忑不安。	Even though someone came, she still remained uneasy.
她很漂亮。	She's pretty.
喂！这里有个会说维语的美国人！快来把他的电脑检查一下！	Hey! There's an American who speaks Uyghur here! Hurry up and get over here to inspect his computer!
你觉得绕路的司机占所有的出租车司机的百分之多少？	What percentage of all taxi drivers make unscrupulous detours, do you think?
我想打电话给父母。	I would call my parents.
我想要买便宜的辞典。	I want to buy a cheap dictionary.
他严格按照原则办事。	He is a stickler for principles.
工程横跨了两个世纪才完成，	The construction straddled two centuries.
我可以回答所有问题。	I could answer all the questions.
因为这是一个有好几层的瀑布，所以速度慢也不会让人惊讶。	As this is a cascade with multiple layers, it shouldn't be surprising that it's slow.
请不要开窗。	Please do not open the windows.
你要是在Tatoeba上发现什么问题，你应该责备Sysko才对。	If you discover any problems on Tatoeba, you should go ahead and blame Sysko.
不要自寻烦恼。	Don't make a mountain out of a molehill.
商店从周一开到周六。	Shops are open from Monday to Saturday.
我知道金钱不代表一切。	I know that money isn't everything.
不要忘记你的钱。	Don't forget your money.
今天谁值班？	Who's on duty today?
如果他們必須先學拉丁文的話，是沒有機會讓羅馬人征服世界的對吧。	The Romans would never have had the chance to conquer the world if they had first been required to study Latin.
老实说，我们是来抓你们的。	To be honest, we came to capture you.
啊？我们说过要去公园吗？我没有印象。	Eh? We said we'd go to the park? I didn't realise.
我们今天出门去公园呢？	Aren't we going out to to the park today?
你对中国的印象是什么？	What's your impression of China?
我对美国的印象挺好的。	My impression of America is very good.
你对他的印象怎么样？	What's your impression of that person like?
我对这个政府的印象是，他们需要强一点儿的经济政策，要不然将来会遇到很大的问题。	My impression of this government is that they need a more forceful economic policy, otherwise they'll encounter large problems in the future.
我对那天的印象很深刻。	That day left a deep impression on me.
那家饭馆儿的服务员给我们留下很好的印象。	The staff in that restaurant gave us a very good impression.
你说的话给我留下了很深刻的印象。	What you said left a deep impression on me.
我对她有很深刻的印象。	I find her very impressive.
你知道吗，我从没过见你跟一个男人一起。	You know, I've never seen you with a guy before.
你的简历给我留下了很深刻的印象。	Your résumé has really impressed me.
小孩子不能判断什么是对的，什么是错的。	Young children cannot determine what is right and what is wrong.
投资她能判断得很正确。	She can assess investments very accurately.
你不要判断别人的传统文化。	Don't judge other people's traditional culture.
我们应该根据他的作为来评判他。	We should judge him according to his actions.
他三番五次评判别人。	He judges other people time and again.
对你来说，我们可不可以评判别人的宗教？	In your view, can we judge other people's religion or not?
这次面试的意义是评断你合不合适这家公司。	The purpose of this interview is to assess whether or not you are suitable for the company.
因为他做了不少不好的事我们可以论定他是不好的人。	As he has done a lot of bad things, we can conclude that he is a bad person.
看完研究以后，我们其中大部分人论定疫苗是件好事。	After looking at the research, most of us conclude that vaccines are a good thing.
你能因此而论定女杏主义还是需要的。	From this you can conclude that feminism is still necessary.
他们俩都是很称职的法官。	They are both very competent judges.
他葫芦里不知卖的是什么药？	I wonder what he's up to?
你不能一心两用。	You can't do two things at once.
这个案件会需要很长时间来裁决。	This case might not get resolved for a while.
你应该自己判断什么时候喝了太多酒。	You should be able to judge when you've had too much to drink.
我也有权力讲话。	I have the right to speak too.
我不会卖这个树影。	I won't sell this tree shade.
這棟很高的房子被茅草屋頂覆蓋著。	The high house was covered with a thatched roof.
他的話給了我希望。	His words gave me hope.
他沒有他弟弟聰明。	He is not as intelligent as his brother.
誰解決了這個難題？	Who solved the hard problem?
他決定成為一名飛行員。	He decided to become a pilot.
油漆我們的房子。使用橙色的油漆。	Paint our house. Use the orange paint.
這裡總有一些事情在發生。	There is always something happening here.
我們要罷工的理由是因為公司沒有改善我們的工資。	The reason we're on strike is that the company hasn't improved our wages.
我們之所以罷工是因為公司沒有改善我們的工資。	We're on strike because the company hasn't improved our wages.
她更新了花盆裡的土。	She renewed the soil in the flower pot.
我們建議提高收費。	We suggest raising the fees.
該計劃是一個大成功。	The project was a great success.
當你提出一個問題，你期望得到答案。	When you pose a question, you expect an answer.
採訪者介紹了採訪的主題。	The interviewer introduces the topic of the interview.
這名採訪者確認了他的採訪對象。	The interviewer identifies his interviewees.
賽義認為數學家自給自足的獨行於一小塊天堂。	Saeb thinks mathematicians are self-contained walking pieces of heaven.
我知道我知道它，但我想不起來了。	I know that I know it, but I can't remember it.
我並不總是正確的，我只是總在你犯錯的時候糾正你。	I'm not always right, I just always correct you when you make mistakes.
不共戴天的敵人是不朽的朋友。	Mortal enemies are immortal friends.
拜託不會有人想到孩子們嗎?!	Won't somebody please think of the children?!
"不要結婚要快樂!"	Don't marry. Be happy!
他戴眼鏡。	He wears glasses.
我知道有些人看重我的工作。	I know that some people value my work.
毫無希望，白費心思。	Here goes nothing.
我幾乎要為凱莉米洛哭了。	I was almost crying for Kylie Minogue.
我想看凱莉米洛的演唱會。	I want to watch the concert of Kylie Minogue.
不要對我和我的阿芙羅狄蒂發誓！	Do not swear neither me nor my aphrodite!
上梁不正下梁歪。	A fish rots from the head down.
如果我的大腦在大桶裡，我就不會寫這個了。	If I were a brain in a vat, I wouldn't write this.
這對我來說是舊聞了。	This is old news to me.
湯尼英語說得和你一樣好。	Tony speaks English as well as you.
蛇誘惑了夏娃。	The serpent tempted Eve.
我不能忍受短襯褲。	I can’t stand panties.
一些在我的花園裡的玫瑰是白色的，其他的則是紅色的。	Some of the roses in my garden are white, and others are red.
這是誰的書？	Whose book is this?
隨著文藝復興，學院派的想法被積極的想法取而代之了。	With Renaissance, scholastic ideas gave place to positive ideas.
哥倫布的發現新大陸法則：如果你在克里斯多福·哥倫布之前發現了某個東西，那麼你所發現的是不存在的。	Columbus's Law of Discovery states: If you discovered something BEFORE Christopher Columbus, then what you discovered does not exist.
據我所知，你的信在那本書下面。	As far as I know, your letter is under that book.
該公司在這個企劃中投入了很多錢。	The company invested a lot of money in this project.
我们分手吧。	We should break up.
當我們離開的時候，誰來照顧狗？	Who will take care of the dog while we are away?
他認為他自己夠迷人的了。	He thought of himself as being charming enough.
她認為她自己夠迷人的了。	She thought of herself as being charming enough.
如果有錢的話，我要環遊世界。	If I had money, I would travel around the world.
開啟野戰手電筒不會幫助你在黑暗中看得到。	Switching on a fleshlight won't help you see in the dark.
在殭屍啟示錄的事件中你會怎麼做？	What would you do in the event of a zombie apocalypse?
你妄想。上床睡覺去！	You're delusional. Go to bed!
Johny以前是個化學家，但現在Johny不再是了。他以前所想的是水，是硫酸。	Johny was a chemist; now Johny is no more. For what he thought was water, was H2SO4.
他的大腦仍然很活躍。	He still has springtime on the brain.
虎与人是无法比拼力量的，但是，老虎还是比人类低等。	You cannot compare the strength of a man to that of a tiger, but nevertheless, the tiger is still the inferior creature.
你是素食者。	You are vegetarian.
你很怪- 我喜歡你。	You're weird - I like you.
使用它或失去它。	Use it or lose it.
