我們試試看！	我們 試試看 ！
这是我仅有的一本书。	这 是 我 仅有 的 一本 书 。
尽管天气很冷，孩子却没有大衣穿。	尽管 天气 很冷 ， 孩子 却 没有 大衣 穿 。
这辆车很省油。	这辆 车 很 省 油 。
音乐悦耳。	音乐 悦耳 。
总统在电视上对国民讲话。	总统 在 电视 上 对 国民 讲话 。
请找到问题的解决方法。	请 找到 问题 的 解决 方法 。
电梯好像故障了。	电梯 好像 故障 了 。
请叫消防员。	请 叫 消防 员 。
他走路或者骑车过来。	他 走路 或者 骑车 过来 。
我买了两张音乐会的票。	我 买了 两张 音乐会 的 票 。
他考试通过了吗？	他 考试 通过了 吗 ？
我们该研究一下那个问题。	我们 该 研究 一下 那个 问题 。
这个作家是俄罗斯人。	这个 作家 是 俄罗斯人 。
我不明白他说的话。	我 不明 白 他 说的 话 。
他决定不买那个房子了，首先是因为太贵了，其实是因为离他的办公室太远了。	他 决定 不买 那个 房子 了 ， 首先 是 因为 太贵 了 ， 其实 是 因为 离 他的 办公室 太远 了 。
他似乎不知道我父亲和我之间的纠葛。	他 似乎 不知道 我 父亲 和 我 之间 的 纠葛 。
我叫汤姆弹吉他。	我 叫 汤 姆 弹吉他 。
现在我们很容易就能乘飞机去遥远的国度。	现在 我们 很容易 就 能 乘飞机 去 遥远 的 国度 。
她把我认作我弟弟了。	她 把 我 认作 我 弟弟 了 。
蛋壳容易破碎。	蛋壳 容易 破碎 。
学荷兰语不难。	学 荷兰语 不难 。
我一生中从没那么糗过。	我 一生中 从 没 那么 糗 过 。
我见到了王子真人。	我 见到 了 王子 真人 。
伦敦是一个为马而建立的城市。	伦敦 是 一个 为 马 而 建立 的 城市 。
4在日本是一个不幸的数字。	4 在 日本 是 一个 不幸 的 数字 。
孩子们的衣食住行靠的是他们的父母。	孩子们 的 衣食住行 靠的 是 他们的 父母 。
他的方法不科学。	他的 方法 不科学 。
我妹妹的英语有了明显的进步。	我 妹妹 的 英语 有了 明显 的 进步 。
我喜欢看虚幻勇士。	我 喜欢 看 虚幻 勇士 。
她留了很多钱给她儿子。	她 留了 很多 钱 给 她 儿子 。
阿里似乎对蚁类研究很感兴趣。	阿里 似乎 对 蚁 类 研究 很感兴趣 。
今天强盗大白天的就抢了另一家银行。	今天 强盗 大白 天 的 就 抢 了 另一 家 银行 。
全家都病倒了。	全家 都 病倒 了 。
宝宝对我笑了。	宝宝 对 我 笑了 。
你知道伦敦交响乐团的演奏会行程吗？	你 知道 伦敦 交响乐团 的 演奏会 行程 吗 ？
我有一只蛋。	我 有 一只 蛋 。
以后请注意点。	以后 请注意 点 。
你有病！	你 有病 ！
我九月份就十六岁了。	我 九月份 就 十六岁 了 。
这个男人的名字我记得很清楚。	这个 男人 的 名字 我 记得 很 清楚 。
他开始掉头发了。	他 开始 掉头 发 了 。
我知道谁住在这房子里。	我 知道 谁 住在 这 房子 里 。
他以为什么都知道。	他 以为 什么 都 知道 。
这幢楼以前是医院。	这幢 楼 以前 是 医院 。
多丢人啊！	多 丢人 啊 ！
你真丢脸！	你 真丢脸 ！
很遗憾您不能去派对。	很 遗憾 您 不能 去 派对 。
很遗憾您不能来派对。	很 遗憾 您 不能 来 派对 。
不要往地上扔任何东西。	不要 往 地上 扔 任何 东西 。
你发生了什么事？	你 发生了 什么 事 ？
看见我，她很尴尬。	看见 我 ， 她 很 尴尬 。
爱情是盲目的。	爱情 是 盲目 的 。
我爸爸在花园里。	我爸 爸 在 花园 里 。
这房子不出售。	这 房子 不出 售 。
她向我求助。	她 向 我 求助 。
不管怎么样，我不喜欢他。	不管 怎么样 ， 我 不喜欢 他 。
晚饭前您想喝一杯吗？	晚饭 前 您 想 喝 一杯 吗 ？
是我错了。	是 我 错了 。
如果我有钱的话，我就买了那支笔了。	如果 我 有钱 的话 ， 我 就 买了 那支 笔 了 。
风吹得很猛。	风吹 得很 猛 。
琼斯先生教我们英语会话。	琼 斯 先生 教 我们 英语 会话 。
英语现已成为世界上许多国家的通用语言了。	英语 现已 成为 世界上 许多 国家 的 通用 语言 了 。
你狠性感。	你 狠 性感 。
她从伦敦订了这本书。	她 从 伦敦 订 了 这本 书 。
她在伦敦订了这本书。	她 在 伦敦 订 了 这本 书 。
这些珍珠是真的，不是人造的。	这些 珍珠 是 真的 ， 不是 人造 的 。
假装你是我。	假装 你是 我 。
在各大土耳其餐馆，烤羊肉串是主食。	在 各 大 土耳其 餐馆 ， 烤 羊肉串 是 主食 。
你走得好快啊！	你 走得 好 快 啊 ！
他對我失去了耐心。	他 對 我 失去 了 耐心 。
請在3月10日前再次確認預訂。	請在 3 月 10 日前 再次 確認 預訂 。
善有善报，恶有恶报。	善有善报 ， 恶 有 恶 报 。
別碰我的相機。	別 碰 我的 相機 。
风马牛不相及。	风马牛不相及 。
外行冒充内行。	外行 冒充 内行 。
功夫到了，事情自然會成功。	功夫 到了 ， 事情 自然 會 成功 。
我沒有絲毫的想法。	我 沒有 絲毫 的 想法 。
我不知道我們會到達哪裡。	我 不知道 我們 會 到達 哪裡 。
我不知道該說些什麼。	我 不知道 該 說 些 什麼 。
我不太確定。	我 不太 確定 。
你不了解。	你 不了解 。
他们把我们当成摇钱树。	他们 把 我们 当成 摇钱树 。
你说的话在逻辑上有问题。	你说 的话 在 逻辑上 有问题 。
他不能回答他们的问题。	他 不能 回答 他们的 问题 。
我无法判断他的话是真是假。	我 无法 判断 他的 话 是 真是 假 。
我要你切腹。	我 要 你 切腹 。
大象的体型比老鼠的体型大好几倍。	大象 的 体型 比 老鼠 的 体型 大好 几倍 。
我没有钱,也没有朋友。	我 没有钱 , 也 没有 朋友 。
尼可日语说得很好。	尼可 日语 说得 很好 。
她看上去很幸福，但是在她内心深处，她受着痛苦。	她 看上去 很 幸福 ， 但是 在 她 内心深处 ， 她 受 着 痛苦 。
我加粗了我觉得有趣的文章。	我 加粗 了 我 觉得 有趣 的 文章 。
他只顾自己的利益。	他 只顾 自己的 利益 。
打我吧。	打我 吧 。
仙台地震的结果很恐怖。	仙台 地震 的 结果 很 恐怖 。
我们必须遵纪守法。	我们 必须 遵纪守法 。
我们一开始就知道。	我们 一 开始 就 知道 。
他们原谅了他的罪行。	他们 原谅 了 他的 罪行 。
那男人偷了我的钱包。	那 男人 偷了 我的 钱包 。
她下个月就会有个宝宝了。	她 下个月 就会 有个 宝宝 了 。
事故似乎和厚厚的积雪有关。	事故 似乎 和 厚厚 的 积雪 有关 。
因为它在那儿。	因为 它 在 那儿 。
因为是那儿。	因为 是 那儿 。
与她的相遇丰富了他的精神生活。	与她 的 相遇 丰富 了 他的 精神 生活 。
我不能禁止一个人娶好几个妻子，因为这与圣经不矛盾。	我 不能 禁止 一个 人 娶 好几个 妻子 ， 因为 这与 圣经 不 矛盾 。
他们都是天真的孩子。	他们 都 是 天真 的 孩子 。
他们都是无辜的孩子。	他们 都 是 无辜 的 孩子 。
我不想再听到其他借口了。	我 不想 再听 到 其他 借口 了 。
这张书桌花了我不下30000日元。	这张 书桌 花了 我 不下 30000 日元 。
告诉我正确的答案。	告诉 我 正确 的 答案 。
我会在这儿再待上三天。	我 会在 这儿 再 待 上 三天 。
我想要点当日套餐。	我 想要 点 当日 套餐 。
您允许我去吗？	您 允许 我 去 吗 ？
快点，你就能准时搭上公交车了。	快点 ， 你 就 能 准时 搭上 公交车 了 。
是呀，这个很漂亮。多少钱？	是 呀 ， 这个 很 漂亮 。 多少 钱 ？
坏的人，是我。	坏的 人 ， 是 我 。
你几点回家？	你 几点 回家 ？
大部分人迟早要结婚。	大部分 人 迟早 要 结婚 。
你们该养成使用字典的习惯。	你们 该 养成 使用 字典 的 习惯 。
这个钟每天慢三分钟。	这个 钟 每天 慢 三分 钟 。
明天肯定会下雨。	明天 肯定 会 下雨 。
好了，你男朋友在搞什么啊，我们不会等他几个钟头的。	好了 ， 你 男朋友 在 搞 什么 啊 ， 我们 不会 等他 几个 钟头 的 。
我每六小时要服一次药。	我 每 六 小时 要 服 一次 药 。
他的话就是命令。	他的 话 就是 命令 。
他在他弟弟旁边显得很年轻。	他 在 他 弟弟 旁边 显得 很 年轻 。
一天天热起来了。	一天 天 热 起来 了 。
这是我知道的最好的餐馆。	这 是 我 知道 的 最好 的 餐馆 。
我需要学习数学。	我 需要 学习 数学 。
史密斯先生是她的一个相识。	史 密斯 先生 是 她的 一个 相识 。
一石二鸟。	一石二鸟 。
一箭双雕。	一箭双雕 。
剩下的就自然跟着了。	剩下 的 就 自然 跟着 了 。
谁在弹钢琴？	谁在 弹 钢琴 ？
他的每首歌都长期备受欢迎。	他的 每 首 歌 都 长期 备受 欢迎 。
她的每首歌都长期备受欢迎。	她的 每 首 歌 都 长期 备受 欢迎 。
我坐在汤姆和约翰中间。	我 坐在 汤 姆 和约 翰 中间 。
哪顶帽子是你的？	哪 顶帽 子 是 你的 ？
把它给他们。	把 它 给 他们 。
我会让你幸福的。	我 会 让你 幸福 的 。
到你切了!	到 你 切 了 !
信一写好，他就把它寄了。	信 一 写好 ， 他 就 把 它 寄 了 。
请快点把碎了的那个换掉好吗？	请 快点 把 碎了 的 那个 换掉 好吗 ？
她进屋前擦了鞋。	她 进屋 前 擦了 鞋 。
立竿见影。	立竿见影 。
對不起, 我錯開了你的信。	對不起 , 我 錯開 了 你的 信 。
你為什麼拒绝了他的提議？	你 為什麼 拒绝 了 他的 提議 ？
白天漸漸地越來越長。	白天 漸漸 地 越來越 長 。
我摑了他的臉。	我 摑 了 他的 臉 。
我覺得在寒冷的早晨很難早起。	我 覺得 在 寒冷 的 早晨 很難 早起 。
她在火旁邊讓自己暖和起來。	她 在 火 旁邊 讓 自己 暖和 起來 。
這棟房子是屬於他的。	這 棟 房子 是 屬於 他的 。
這房子非常小。	這 房子 非常 小 。
這房子鬧鬼。	這 房子 鬧鬼 。
他對她一見鍾情。	他 對 她 一見 鍾 情 。
他輕鬆地解決了這個問題。	他 輕鬆 地 解決 了 這個 問題 。
"你有看到我的手機嗎?" "它在桌子上。"	" 你 有 看到 我的 手機 嗎 ? " " 它 在 桌子 上 。 "
當她在洛杉磯的時候, 她至少有六份工作。	當她 在 洛杉磯 的時候 , 她 至少 有 六 份 工作 。
為了趕上第一班火車, 比爾很早就起床了。	為了 趕上 第一 班 火車 , 比爾 很早 就 起床 了 。
為了能夠趕上第一班火車, 比爾很早就起床了。	為了 能夠 趕上 第一 班 火車 , 比爾 很早 就 起床 了 。
我有一位朋友在國外留學。	我 有 一位 朋友 在國外 留學 。
你必須控制自己。	你 必須 控制 自己 。
你今天看起來很高興。	你 今天 看起來 很高興 。
什麼吵醒你了?	什麼 吵醒 你 了 ?
你會游泳, 不是嗎？	你 會 游泳 , 不是 嗎 ？
你應該知道的。	你 應該 知道 的 。
你為什麼不能來?	你 為什麼 不能 來 ?
你做完了嗎?	你 做完 了 嗎 ?
你有嗎？	你 有 嗎 ？
你總是在抱怨。	你 總是 在 抱怨 。
我佩服你的勇氣。	我 佩服 你的 勇氣 。
在這裡寫下你的地址。	在這裡 寫下 你的 地址 。
你的手乾淨嗎?	你的 手 乾 淨 嗎 ?
你的東西在哪裡?	你的 東西 在哪裡 ?
你的英語正在進步。	你的 英語 正在 進步 。
我想要聽聽你的意見。	我 想要 聽聽 你的 意見 。
你的計劃聽起來很不錯。	你的 計劃 聽起來 很不 錯 。
你的袋子在這裡。	你的 袋子 在這裡 。
你應該得到這個獎金。	你 應該 得到 這個 獎金 。
你真的是一點希望也沒有。	你 真的 是 一點 希望 也 沒有 。
我不怪你。	我 不 怪 你 。
請脫下你的襪子。	請 脫下 你的 襪子 。
我是一個自由的人。	我 是 一個 自由 的 人 。
不要擔心我。	不要 擔心 我 。
讓我來處理。	讓 我 來處 理 。
我無法做到這一點。	我 無法 做到 這一點 。
努力學習, 那麼你就會成功。	努力學習 , 那麼 你 就 會 成功 。
我寧願去游泳。	我 寧願 去 游泳 。
我會去拿一些玻璃杯。	我 會 去拿 一些 玻璃杯 。
請定期填寫。	請 定期 填寫 。
請照平常一樣五加侖。	請 照 平常 一樣 五 加侖 。
請再讀一次。	請 再讀 一次 。
我快好了。	我 快好 了 。
請把奶油遞給我。	請 把 奶油 遞給 我 。
它真的很便宜。	它 真的 很 便宜 。
敏夫喜歡誰?	敏 夫 喜歡 誰 ?
我只是看看, 謝謝你。	我 只是 看看 , 謝謝你 。
麻煩開燈一下。	麻煩 開燈 一下 。
我自己做的。	我自己 做 的 。
它在沙發上。	它 在 沙發 上 。
這把椅子很醜。	這把 椅子 很 醜 。
這是你的車嗎?	這 是 你的 車 嗎 ?
這不便宜, 是嗎?	這 不便 宜 , 是嗎 ?
你們都準備好了嗎?	你們 都 準 備好 了 嗎 ?
浴缸已經準備好了。	浴缸 已經 準 備好 了 。
我就指望你了。	我 就 指望 你 了 。
你愛坐哪裡就坐哪裡。	你 愛 坐 哪裡 就坐 哪裡 。
他槍擊了我。	他 槍擊 了 我 。
我相信你。	我 相信 你 。
你說太多了。	你 說 太多 了 。
我會考慮一下。	我 會考 慮 一下 。
我在節食。	我 在 節食 。
昨天是我的生日。	昨天 是 我的 生日 。
也給我一些牛奶。	也 給 我 一些 牛奶 。
我正考慮到你。	我 正 考慮到 你 。
我一會兒就來。	我 一會兒 就 來 。
我突然想到你。	我 突然 想到 你 。
我擔心他。	我 擔心 他 。
我爬過兩次富士山。	我 爬過 兩次 富士山 。
我從來沒有爬過富士山。	我 從來沒有 爬過 富士山 。
該走了。	該 走了 。
是該離開的時候了。	是 該 離開 的時候 了 。
我很抱歉, 但它是不可能的。	我 很 抱歉 , 但 它 是 不可能 的 。
即使我們第一次不夠幸運, 我們可以就一直做愛直到我懷孕。 [XXX]	即使 我們 第一次 不夠 幸運 , 我們 可以 就 一直 做愛 直到 我 懷孕 。 [ XXX ]
我找不到任何英文拼寫的邏輯。"T- O- G- H" 可以被發音成"fish"。	我 找 不到 任何 英文 拼寫 的 邏輯 。 " T - O - G - H " 可以 被 發音 成 " fish " 。
海明威的寫作風格很差勁。	海明威 的 寫作 風格 很差 勁 。
現今每個人都對天花免疫了。	現今 每個人 都對 天花 免疫 了 。
別擔心! 即使我喝酒了, 它對我的駕駛沒有影響。	別 擔心 ! 即使 我 喝酒 了 , 它 對 我的 駕駛 沒有 影響 。
我不是一個句子。我應該從Tatoeba當中被刪除掉。	我 不是 一個 句子 。 我 應該 從 Tatoeba當中被刪除掉 。
當你想說"我保證", 如果你說"koko ni chikaimasu", 你聽起來會更象一個本地人。	當 你 想說 " 我 保 證 " , 如果 你 說 " koko ni chikaimasu " , 你 聽起來 會 更 象一 個 本地人 。
荷蘭贏得了2010年世界杯足球賽。	荷蘭 贏得 了 2010 年 世界杯 足球賽 。
共產主義是在蘇聯被實行的制度。	共產主義 是 在 蘇聯 被 實行 的 制度 。
讓我們叫這隻狗Skipper。	讓 我們 叫 這 隻 狗 Skipper 。
這隻狗跑走了。	這 隻 狗 跑走 了 。
谁能把你的那个石心融化？	谁 能把 你的 那个 石心 融化 ？
你需要救護車嗎?	你 需要 救護車 嗎 ?
你必須有耐心。	你 必須 有耐心 。
我需要一張郵票。	我 需要 一張 郵票 。
我需要一些郵票。	我 需要 一些 郵票 。
你不必著急。	你 不必 著急 。
如果必要的話, 我會和你一起去。	如果 必要 的話 , 我 會 和 你 一起 去 。
我必須睡一下覺。	我 必須 睡 一下 覺 。
我們需要錢。	我們 需要 錢 。
孩子們需要大量的睡眠。	孩子們 需要 大量 的 睡眠 。
學校需要一個新的老師。	學校 需要 一個 新的 老師 。
你沒有必要買這本書。	你 沒有 必要 買 這本 書 。
她離不開她的車。	她 離不開 她的 車 。
沒有車她做不了事。	沒有 車 她 做 不了 事 。
你不需要隨身帶著午餐。	你 不需要 隨身 帶著 午餐 。
如果你不想去, 就不必去了。	如果 你 不想 去 , 就 不必 去了 。
我的雨傘遺失在公園裡某個地方。我必須再買一把。	我的 雨傘 遺失 在 公園 裡 某個 地方 。 我 必須 再買 一把 。
嘿, 是你啊!	嘿 , 是 你 啊 !
我不是一個大學生, 但我比他們更聰明。	我 不是 一個 大學生 , 但 我 比他 們 更聰明 。
我要控告你。	我 要 控告 你 。
我在棋盤上把一個棋子在向前移動一步。	我 在 棋盤 上 把 一個 棋子 在 向前 移動 一步 。
我為你的殿，心裡焦急，如同火燒。	我 為 你的 殿 ， 心裡 焦急 ， 如同 火燒 。
祂到自己的地方來，自己的人卻不接受祂。	祂 到自 己 的 地方 來 ， 自己的 人 卻不 接受 祂 。
不要把你的燈藏在斗笠下。	不要 把你 的 燈 藏在 斗笠 下 。
你如果看見聖靈降下，落在誰身上，誰就是用聖靈替人施洗的了。	你 如果 看見 聖靈 降下 ， 落在 誰 身上 ， 誰 就是 用 聖靈 替人 施 洗 的 了 。
我让他扫地了。	我 让 他 扫地 了 。
他在他的同事之中受到歡迎。	他 在 他的 同事 之中 受到 歡迎 。
收音機廣播充斥著有關最近爆炸的新聞。	收音機 廣播 充斥 著有 關 最近 爆炸 的 新聞 。
我特別喜欢这一幕。	我 特別 喜欢 这 一幕 。
昨天我們玩得特別痛快!	昨天 我們 玩 得 特別 痛快 !
冰冷的疾風吹到我骨子裡去了。	冰冷 的 疾風 吹 到 我 骨子裡 去了 。
冷空氣疾風席捲整棟房子。	冷空氣 疾風 席 捲 整 棟 房子 。
我將要在這裡待幾天。	我 將要 在這裡 待 幾天 。
人生十分短暫，我們不應該浪費時間。	人生 十分 短暫 ， 我們 不應該 浪費時間 。
這張照片帶我回到我的童年時光。	這張 照片 帶 我 回到 我的 童年 時光 。
你把我的鋼筆怎麼了? 一分鐘前它還在這裡。	你把 我的 鋼筆 怎麼了 ? 一分鐘 前 它 還在 這裡 。
他要來這件事對我而言無關緊要。	他 要 來這 件事 對 我 而言 無關緊要 。
為了存錢他省吃儉用了許多年。	為了 存錢 他 省吃儉用 了 許多 年 。
你估計聽眾有多少?	你 估計 聽眾 有多 少 ?
老師強調日常練習的重要。	老師 強調 日常 練習 的 重要 。
我也是。	我 也是 。
你生日那天會收到很多禮物。	你 生日 那天 會 收到 很多 禮物 。
沒有人知道他逃到了哪裏。	沒有人 知道 他 逃到 了 哪 裏 。
真是一個好主意！	真是 一個 好主意 ！
我並不打算把結果告訴你。	我 並不 打算 把 結果 告訴 你 。
我想一個人去旅行。	我 想 一個 人 去 旅行 。
我哥哥上個星期寄了一封信給我。	我哥 哥 上個星期 寄 了 一封信 給 我 。
他被她的笑容吸引住了。	他 被她 的 笑容 吸引 住了 。
他身上的錢全被強盗搶走了。	他 身上 的 錢 全 被 強 盗 搶走 了 。
我從來沒有見過紅色的冰箱。	我 從來沒有 見過 紅色 的 冰箱 。
管理一間公司和擁有一間公司是不能相提並論的兩回事。	管理 一間 公司 和 擁有 一間 公司 是 不能 相提並論 的 兩回事 。
這裏就是意外現場了。	這 裏 就是 意外 現場 了 。
他從不會說謊。	他 從 不會 說謊 。
我把我借来的刀还了。	我 把 我 借来 的 刀 还 了 。
我把她的字典还给了她。	我 把 她的 字典 还给 了 她 。
我是那种喜欢非常专心地想事情的那种人。	我 是 那种 喜欢 非常 专心 地 想 事情 的 那种 人 。
雨点打着窗户。	雨点 打着 窗户 。
她有興趣學習新的想法。	她 有興趣 學習 新的 想法 。
你可以選擇任何你想要的。	你 可以 選擇 任何 你 想要 的 。
他已經決定了新的政策。	他 已經 決定了 新的 政策 。
除了這個之外我會給你任何東西。	除了 這個 之外 我 會 給 你 任何 東西 。
他們並不總是服從他們的父母。	他們 並不 總是 服從 他們的 父母 。
你可以選擇任何你喜歡的書。	你 可以 選擇 任何 你 喜歡 的 書 。
你可以選擇你喜歡的。	你 可以 選擇 你 喜歡 的 。
他決定戒菸了。	他 決定 戒 菸 了 。
我會在這兒等著直到她來。	我 會在 這兒 等著 直到 她 來 。
你可以選擇他們之中的任何一個。	你 可以 選擇 他們 之中 的 任何 一個 。
你可以選擇任何你喜歡的書。	你 可以 選擇 任何 你 喜歡 的 書 。
他可能在下一班火車上。	他 可能 在下 一班 火車 上 。
我們上學可能會遲到。	我們 上學 可能 會 遲到 。
他可能在公園周圍慢跑。	他 可能 在 公園 周圍 慢跑 。
你不如跟我一起來。	你 不如 跟 我 一起 來 。
他們在還很年輕的時候就結婚了。	他們 在 還很 年輕 的時候 就 結婚 了 。
她嫁給了美國人。	她 嫁給 了 美國人 。
她嫁給了一個外國人。	她 嫁給 了 一個 外國人 。
這刀不鋒利。	這 刀 不 鋒利 。
這個問題都被解決了。	這個 問題 都被 解決 了 。
國王統治了這個國家。	國王 統治 了 這個 國家 。
國王摧毀了他的敵人。	國王 摧毀 了 他的 敵人 。
瓊斯一家人愛他們的女兒。	瓊 斯 一家人 愛他 們 的 女兒 。
太浪漫了!	太 浪漫 了 !
這份工作錄取仍然有效。	這份 工作 錄取 仍然 有效 。
欢迎回来。我们想你了!	欢迎 回来 。 我们 想 你 了 !
欢迎回来。我们想您了!	欢迎 回来 。 我们 想 您 了 !
我要赶紧了!	我 要 赶紧 了 !
公司由于缺乏资本倒闭了。	公司 由于 缺乏 资本 倒闭 了 。
這項工作已經完成了一半。	這項 工作 已經 完成 了 一半 。
這架客機降落在東京了。	這架 客機 降落 在 東京 了 。
我得快點!	我 得快 點 !
你和你的父母同住嗎？	你 和 你的 父母 同住 嗎 ？
正如身體需要鍛煉，所以心靈需要刺激才能保持健康。	正如 身體 需要 鍛煉 ， 所以 心靈 需要 刺激 才能 保持 健康 。
你訂閱了什麼報紙?	你 訂閱 了 什麼 報紙 ?
他独自环游了世界八十天。	他 独自 环游 了 世界 八十 天 。
說到田中先生，你最近有沒有見過他？	說到 田中 先生 ， 你 最近 有沒有 見過 他 ？
對不起，但我聽不太清楚你說話。	對不起 ， 但 我 聽不 太 清楚 你 說話 。
能否請你說慢一點?	能 否 請你 說 慢一點 ?
吉米堅持要我帶他去動物園。	吉米 堅持 要 我 帶 他 去 動物園 。
健太郎與他的朋友待在京都。	健 太 郎 與 他的 朋友 待在 京都 。
為了正當目的並非總是可以不擇手段.	為了 正當 目的 並非 總是 可以 不擇手段 .
達也有一些朋友住在紐約。	達 也 有 一些 朋友 住在 紐約 。
警察抓著小偷的胳膊。	警察 抓著 小偷 的 胳膊 。
我的父親堅持要我們等火車。	我的 父親 堅持 要 我們 等 火車 。
請你為我解釋規則好嗎?	請你 為 我 解釋 規則 好嗎 ?
我已經搭了最近比較早一點的火車來上班。	我 已經 搭 了 最近 比較 早一點 的 火車 來 上班 。
最大可能假想事故什么时候会发生？	最大 可能 假想 事故 什么时候 会 发生 ？
海啸来了，密切注意啊。	海啸 来 了 ， 密切 注意 啊 。
你们在听我说吗？	你们 在 听我 说 吗 ？
您在听我说吗？	您 在 听我 说 吗 ？
阁楼上积了灰。	阁楼 上 积 了 灰 。
他女儿饭做得不好。	他 女儿 饭 做得 不好 。
她女儿饭做得不好。	她 女儿 饭 做得 不好 。
我不说日语。	我 不说 日语 。
他虽然穷，却很幸福。	他 虽然 穷 ， 却 很 幸福 。
她一直都相信我。	她 一直 都 相信 我 。
我甘心为你做任何事。	我 甘心 为 你 做 任何 事 。
请开门。	请 开门 。
我很好。	我 很好 。
我喜欢世界语歌曲。	我 喜欢 世界语 歌曲 。
您很快就会知道世界语了。	您 很快 就会 知道 世界语 了 。
小菜一碟。	小菜 一碟 。
我真的需要把这都读了。	我 真的 需要 把 这 都 读 了 。
日本人有黑色的眼睛。	日本人 有 黑色 的 眼睛 。
不，这样不对。应该设α等于β。	不 ， 这样 不对 。 应该 设 α等于β 。
他們兒子的名字是約翰。	他們 兒子 的 名字 是 約翰 。
她随机听着她的CD。	她 随机 听着 她的 CD 。
他們的損失到達了一百萬日圓。	他們的 損失 到達 了 一百萬 日圓 。
我的姐姐嫁給了她的高中同學。	我的 姐姐 嫁給 了 她的 高中 同學 。
他們的房子正在裝潢。	他們的 房子 正在 裝潢 。
近来咖啡的短缺造成了许多问题。	近来 咖啡 的 短缺 造成了 许多 问题 。
六点您行吗？	六点 您 行吗 ？
他們的牛都很肥。	他們的 牛 都 很 肥 。
他們的兒子被命名為愛德華。	他們的 兒子 被 命名為 愛德華 。
相關調查正在進行中。	相關 調查 正在 進行中 。
美，丑，富，贫，强，弱...是一些形容词的例子。	美 ， 丑 ， 富 ， 贫 ， 强 ， 弱 . . . 是 一些 形容词 的 例子 。
在緊急情況下，可撥打 119。	在 緊急 情況下 ， 可 撥 打 119 。
来，再试试看。	来 ， 再试 试看 。
他的女兒已經成為了一個漂亮的女人。	他的 女兒 已經 成為 了 一個 漂亮 的 女人 。
什麼事讓她這麼生氣？	什麼事 讓 她 這麼 生氣 ？
他們所有的秘密都已經被揭曉了。	他們 所有 的 秘密 都 已經 被 揭曉 了 。
现在我期望他随便哪天能陪我们。	现在 我 期望 他 随便 哪天 能 陪我 们 。
他們的努力都白費了。	他們的 努力 都 白費 了 。
他的第二個兒子結婚並定居下來了。	他的 第二個 兒子 結婚 並 定居 下來 了 。
鸟儿筑巢。	鸟儿 筑巢 。
她在四十多歲的時候再次結婚。	她 在 四十 多歲 的時候 再次 結婚 。
她嫁給了一個富有的老男人。	她 嫁給 了 一個 富有 的 老 男人 。
由美子去年六月嫁給了一個兒時的朋友。	由 美 子 去年 六月 嫁給 了 一個 兒時 的 朋友 。
大自然很慷慨。	大自然 很 慷慨 。
你为什么生气？	你 为什么 生气 ？
耐心不是我的强项。	耐心 不是 我的 强项 。
我們成功地游過了河。	我們 成功 地 游過 了 河 。
我設法讓他明白了。	我 設法 讓 他 明白 了 。
她住在一個很大的房子裡。	她 住在 一個 很大 的 房子 裡 。
我的兄弟住在一個小村莊裡。	我的 兄弟 住在 一個 小村 莊 裡 。
他設法使收支平衡。	他 設法 使 收支平衡 。
他住在一個舒適的小房子裡。	他 住在 一個 舒適 的 小房子 裡 。
她設法保住面子。	她 設法 保住 面子 。
预订好了。	预订 好了 。
我設法及時到那裡。	我 設法 及時 到 那裡 。
我不知道火车时间，你能帮我打听一下吗？	我 不知道 火车 时间 ， 你能 帮我 打听 一下 吗 ？
一个天使经过。	一个 天使 经过 。
今天8.8级的强大地震袭击了日本的岛屿。	今天 8 . 8 级 的 强大 地震 袭击 了 日本 的 岛屿 。
我19岁的时候结了婚。	我 19 岁 的时候 结了婚 。
她太过好奇，以至于打开了盒子。	她 太过 好奇 ， 以至于 打开 了 盒子 。
一开始，我以为他病了。	一 开始 ， 我 以为 他 病了 。
我邀请他去派对，他接受了。	我 邀请 他 去 派对 ， 他 接受 了 。
你有时间跟我吃午饭吗？	你 有时 间 跟 我 吃午饭 吗 ？
我不完全肯定。	我 不完全 肯定 。
这个项目是由去年我在一个派对上画在一张纸巾上的草图开始的。	这个 项目 是 由 去年 我 在 一个 派对 上画 在 一张 纸巾 上 的 草图 开始 的 。
没有人能够让时间停止。	没有人 能够 让 时间 停止 。
汤姆娶了一个比他大的女孩。	汤 姆 娶 了 一个 比他 大 的 女孩 。
如果他听了他医生的建议，他可能还活着。	如果 他 听了 他 医生 的 建议 ， 他 可能 还 活着 。
我在回家的路上遇到了他。	我 在 回家 的 路上 遇到 了 他 。
我不喜欢茶，所以我早餐大致上都喝咖啡。	我 不喜欢 茶 ， 所以 我 早餐 大致 上 都 喝 咖啡 。
我想要订房。	我 想要 订 房 。
我乘几路车去怀基基？	我 乘 几 路 车 去 怀 基基 ？
请帮我叫宾馆保安。	请 帮我 叫 宾馆 保安 。
我的行李丢了。	我的 行李 丢了 。
很高兴再见到您。	很高兴 再见 到 您 。
很高兴再见到你。	很高兴 再见 到 你 。
问得好。	问 得好 。
电影持续了2个小时。	电影 持续 了 2 个 小时 。
请快点回信。	请 快点 回信 。
代我向你父母问好。	代我 向 你 父母 问好 。
那把吉他太贵了，我买不起。	那 把 吉他 太贵 了 ， 我 买 不起 。
